Term	Translation_ENG_SHL	Translation_LSJ	Category_SHL	Category_HISCO_major	Category_HISCO_minor	Notes
ἡδύοιονος	Sweet Wine Dealer	No Translation	Food Preparation and Retail	4	45	
ἡνιοποιεῖον	Bridle maker		Leatherwork and Footwear	8	80	
ἡνίοχος	charioteer		Transport	9	98	
θαυματοποιός	street fair entertainer/ puppeteer		Drama and Entertainment	1	17	
θεατής	Spectator		Drama and Entertainment	1	19	
θεατροπώλης	Seller of theatre tickets		Miscellaneous Retail	4	45	
θυροποιός	Door maker		Woodwork	7	73	
θωρακοποιός	Cuirass maker		Armaments	7	72	
ἱματιοπώλης	Clothes dealer		Textiles	4	45	
ἱματιόπωλις	Clothes dealer		Textiles	4	45	
ἰπνοπλάθης	Oven maker		Ceramics	8	89	
ἰπνοπλάθος	Oven maker		Ceramics	8	89	
ἱππικός	Riding trainer		Education and Training	1	18	
ἱπποδρόμος	Charioteer		Sports and Competition	1	18	
ἱστιορράφος	Sail stitcher		Textiles	7	79	
ἰσχαδοπώλης	Seller of Dried Figs		Food Preparation and Retail	4	45	
ἰτριοπώλης	Cake Seller		Food Preparation and Retail	5	51	
ἰχθυοπώλης	Fishmonger		Food Preparation and Retail	4	45	
καναβιουργός	Maker of frames (?)		Woodwork	7	73	
καπηλίς	Retailer		Miscellaneous Retail	4	49	
κάπηλος	Retailer		Miscellaneous Retail	4	49	
καρυοπώλης	Nut Seller		Food Preparation and Retail	4	45	
καυλοπώλης	Greengrocer		Food Preparation and Retail	4	45	
κεκρυφαλοπλόκος	Hairnet maker		Textiles	7	79	
κελευστής	Rowing master		Seafaring/Maritime	9	98	
κεραμεύς	Potter		Ceramics	8	89	
κεραμοπώλης	Pot seller		Ceramics	4	45	
κηπουρός	Market Gardener	Gardener	Agriculture, Animal Husbandry	6	62	
κηπωρός	Market Gardener	No Translation	Agriculture, Animal Husbandry	6	62	
κιθαριστής	Kithara teacher/player		Education and Training	1	13	
κλινοποιός	Furniture maker		Woodwork	9	95	
κοιλοπώλης	tripe seller		Food Preparation and Retail	4	45	
κολλοπώλης	Glue seller		Miscellaneous Retail	4	45	
κοπρολόγος	Dung collector		Transport	9	98	
κοροπλάθος	Coroplast		Ceramics	8	89	
κοσκινοποιός	Sieve maker		Tools	8	83	
κοσκινοπώλης	Sieve seller		Tools	8	83	
κρανοποιός	Helmet maker		Armaments	7	72	
κρεοπώλης	Butcher		Food Preparation and Retail	6	62	
κριθοπώλης	Grain Dealer	Barley Dealer	Food Preparation and Retail	4	41	
κροκοπώλης	Saffron Seller	No Translation	Food Preparation and Retail	4	45	
κρομμυοπώλης	Onion Seller		Food Preparation and Retail	4	45	
κτενοπώλης	Comb seller		Miscellaneous Retail	4	49	
κυβερνήτης	Helmsman		Seafaring/Maritime	9	98	
κυμινοπώλης	Cumin Seller		Food Preparation and Retail	4	45	
κυρηβιοπώλης	Chaff seller		Miscellaneous Retail	4	45	
κωμῳδοποιός	Comic poet/playwright		Drama and Entertainment	1	17	
λαχανόπολις	Greengrocer	No Translation	Food Preparation and Retail	4	45	
λεκιθοπώλης	Pulse Seller	Peasepudding-seller	Food Preparation and Retail	4	45	
ληκυθοπώλης	Oil flask seller		Ceramics	4	45	
λιβανοπώλης	Incense seller		Perfumes, Aromatics, and Nostrums	4	45	
λιβανοτοπώλης	Incense seller		Perfumes, Aromatics, and Nostrums	4	45	
λιβανοτόπωλις	Incense seller		Perfumes, Aromatics, and Nostrums	4	45	
λιθοκόπος	Stonecutter/quarryman		Stonework	8	82	
λιθουργός	Stonemason		Stonework	8	82	
λινουργός	Linen worker		Textiles	7	75	
λιτροπώλης	Nitre seller		Fuel and Raw Materials	4	45	
λογόγραφος	Speech-writer		Writing and the Book Trade	1	15	
λοφοποιός	Maker of helmet crests		Armaments	7	72	
λυγειπνός	Singer		Drama and Entertainment	1	17	
λυροποιός	Lyre maker		Musical Instruments	8	81	
λυχνοποιός	Lamp maker		Ceramics	8	89	
λυχνοπώλης	Lamp seller		Ceramics	4	45	
μανθάνων	Student		Literature and Scholarship	1	13	
μάντις	seer		Education and Training	1	14	
μαχαιροποιός	Knife maker		Tools	8	83	
μαχαιροπώλης	Knife seller		Tools	4	45	
μελιτοπώλης	Honey Seller		Food Preparation and Retail	4	45	
μελιττουργός	Beekeeper		Agriculture, Animal Husbandry	6	62	
μεμβραδοπώλης	Sardine Seller	Anchovies Seller	Food Preparation and Retail	4	45	
μεταλλεύς	Miner		Fuel and Raw Materials	7	71	
μεταλλευτής	Miner		Fuel and Raw Materials	7	71	
μολυβδοκόπος	Lead cutter		Metalwork	7	72	
μουσικός	Musician		Drama and Entertainment	1	17	
μυλοκόπος	Millstone cutter		Stonework	8	82	
μυλωθρός	Miller		Food Preparation and Retail	5	54	
μυρεψός	Perfume boiler		Perfumes, Aromatics, and Nostrums	0	6	
μυροπώλης	Perfume seller		Perfumes, Aromatics, and Nostrums	4	45	
μυρόπωλις	Perfume seller		Perfumes, Aromatics, and Nostrums	4	45	
μυστριοπώλης	Spoon seller	Small spoon sellers	Miscellaneous Retail	4	45	
ναύκληρος	Shipmaster		Seafaring/Maritime	9	98	
ναυπηγός	Shipwright		Woodwork	7	73	
ναύτης	Sailor		Seafaring/Maritime	9	98	
νευρορράφος	Cobbler		Leatherwork and Footwear	8	80	
ξιφουργός	Swordsmith		Armaments	7	72	
ξυλοπώλης	Timber wholesaler		Woodwork	4	41	
ξυλουργός	Turner		Woodwork	7	73	
ὀβελισκοποιός	Skewer maker		Metalwork	8	83	
ὁ πηλοφορῶν	Carrier of clay or mortar		Transport	9	98	
οἰκοδομος	Builder		Construction	9	95	
οἰνοπώλης	Wine Dealer		Food Preparation and Retail	4	45	
οἰσουργός	Basketmaker		Cordage and Basketry	7	71	
ὁλμοποιός	Mortar maker		Woodwork	7	73	
ὀνελάτης	Ass driver		Transport	9	98	
ὀνοκόμος	Ass keeper		Transport	9	98	
ὀξοπώλης	Vinegar Dealer		Food Preparation and Retail	4	45	
ὁπλομάχος	Weapons trainer		Education and Training	1	18	
ὀπωρώνης	Fruit Seller	Garden-Watcher	Agriculture, Animal Husbandry	6	62	
ὀρεοκόμος	Muleteer		Transport	9	98	
ὀρνιθευτής	Fowler	Bird-Catcher	Agriculture, Animal Husbandry	6	64	
ὀρνιθοκάπηλος	Bird Dealer		Agriculture, Animal Husbandry	6	62	
ὀρνιθοπώλης	Bird Dealer		Agriculture, Animal Husbandry	6	62	
ὀρτυγοθήρας	Quail Trapper	Keeper of quails	Agriculture, Animal Husbandry	6	61	
ὀρτυγοκόμος	Quail Rearer	Keeper of quails	Agriculture, Animal Husbandry	6	61	
ὀρτυγοπώλης	Quail Dealer		Agriculture, Animal Husbandry	6	62	
ὀρτυγοτρόφος	Quail Rearer	Keeper of quails	Agriculture, Animal Husbandry	6	61	
ὀσπριοπώλης	Pulse Seller		Food Preparation and Retail	4	45	
παγκρατιαστής	Pancratiast		Sports and Competition	1	18	
παιδοτρίβης	Physical trainer		Education and Training	1	18	
παλιγκάπηλος	Wholesaler/middleman		Miscellaneous Retail	4	41	
πένταθλος	Pentathlete		Sports and Competition	1	18	
περιηγητής	Traveler		Exploration and Travel	4	43	
περσικοποιός	Maker of slippers		Leatherwork and Footwear	8	80	
πιλοποιός	Hatter/felter		Textiles	7	79	
πινακοπώλης	one who sells birds from a tray		Agriculture, Animal Husbandry	4	45	
πλινθουργός	Brick maker		Construction	9	95	
πλινθόφορος	Brick carrier		Construction	9	95	
πλυνεύς	Clothes washer		Textiles	7	75	
πλύντης	Clothes washer		Textiles	7	75	
πλύντρια	Clothes washer		Textiles	7	75	
ποάστρια	Herb Cutter	Weeder / Grass-cutter	Agriculture, Animal Husbandry	6	61	
ποδωκέας	Runner		Sports and Competition	1	18	
ποιητής	Poet		Literature and Scholarship	1	17	
ποιητικός	Poet		Literature and Scholarship	1	17	
ποικιλτής	Pattern weaver		Textiles	7	75	
ποιμήν	Shepherd	Herdsman	Agriculture, Animal Husbandry	6	61	
πορθμεύς	Ferryman		Seafaring/Maritime	9	98	
πριονοποιός	Saw maker		Tools	8	83	
πρίστης	Sawyer		Woodwork	7	73	
προβατοκάπηλος	Sheep Dealer		Agriculture, Animal Husbandry	6	62	
προβατοπώλης	Sheep Dealer		Agriculture, Animal Husbandry	6	62	
προμετρητής	Surveyor		Construction	0	3	
πρῳρεύς	Quartermaster		Seafaring/Maritime	9	98	
πυκτεύς	Boxer		Sports and Competition	1	18	
πυροκάπηλος	Barley Dealer	No Translation	Food Preparation and Retail	4	41	
πυροπώλης	Barley Dealer	Wheat-merchant	Food Preparation and Retail	4	41	
ῥακιοσυρραπτάδης	Clothes mender		Textiles	7	79	
ῥάπτης	Clothes mender		Textiles	7	79	
ῥήτωρ	Orator		Literature and Scholarship	1	17	
ῥιζοπώλης	Root seller		Perfumes, Aromatics, and Nostrums	4	45	
ῥιζότομος	Gatherer of medicinal roots		Perfumes, Aromatics, and Nostrums	0	6	
σακχυφάντης	Sackcloth maker		Textiles	7	79	
σησαμοπώλης	Sesame Seller		Food Preparation and Retail	4	41	
σησαμοπώλις	Sesame Seller	No Translation	Food Preparation and Retail	4	41	
σιδηροθργός	Ironworker		Metalwork	7	72	
σιδηροπώλης	Iron dealer		Metalwork	4	45	
σιλφιοπώλης	Silphium Seller		Food Preparation and Retail	4	45	
σινδονοπώλης	Linen seller		Textiles	4	45	
σιτοκάπηλος	Grain Dealer	Corn-factor	Food Preparation and Retail	4	41	
σιτοποιός	Baker		Food Preparation and Retail	5	53	
σιτοπώλης	Grain Dealer	Corn-factor	Food Preparation and Retail	4	41	
σκανδικοπώλης	Wild Chervil Seller		Food Preparation and Retail	4	45	
σκαφεύς	Digger		Agriculture, Animal Husbandry	6	62	
σκευοποιός	Maker of drama equipment		Drama and Entertainment	9	96	
σκευοπώλης	Seller of equipment	Mask seller	Miscellaneous Retail	4	45	
σκηνίτης	Stallholder		Miscellaneous Retail	4	45	
σκοροδοπώλης	Garlic Seller		Food Preparation and Retail	4	45	
σκυλοδέψης	Tanner		Leatherwork and Footwear	7	76	
σκυτοδέψης	Leather worker/shoemaker		Leatherwork and Footwear	8	80	
σκυτοπώλης	Leather seller		Leatherwork and Footwear	4	45	
σκυτότομος	Leather worker/shoemaker		Leatherwork and Footwear	8	80	
σοροπηγός	coffin maker		Woodwork	7	73	
σοροποιός	coffin maker		Woodwork	7	73	
σοφιστής	Philosopher/sophist		Education and Training	1	19	
σπαρτοπώλης	Rope dealer		Cordage and Basketry	4	45	
σπερματοπώλης	Seed seller		Miscellaneous Retail	4	45	
στεφανοπώλης	Garland seller	Dealer in crowns or chaplets	Miscellaneous Retail	4	45	
στεφανόπωλις	Garland seller	No Translation	Miscellaneous Retail	4	45	
στυππειοπλόκος	Ropemaker		Textiles	7	75	
στυππειοπώλης	Rope dealer		Cordage and Basketry	4	45	
συβώτης	Swineherd		Agriculture, Animal Husbandry	6	61	
συριγγοποιός	Pan-pipe maker		Musical Instruments	8	81	
συρμαιοπώλης	Seller of emetics		Perfumes, Aromatics, and Nostrums	4	45	
σχοινοπλόκο	ropemaker		Textiles	7	75	
σχοινοπλόκος	Ropemaker		Textiles	7	75	
ταινιοπώλις	Ribbon seller		Textiles	4	45	
ταλασιουργός	Woolworker		Textiles	7	76	
ταπιδυφάντης	Rug weaver		Textiles	7	75	
ταριχοπώλης	Salt Fish Dealer		Food Preparation and Retail	4	45	
τέκτων	Carpenter/joiner		Woodwork	9	95	
τεμαχοπώλης	Fish Slice Seller		Food Preparation and Retail	4	45	
τοξοποιός	Bowyer		Armaments	7	72	
τραγῳδοποιός	Tragic poet/playwright		Drama and Entertainment	1	17	
τριηραύλης	Aulos player on a trireme		Seafaring/Maritime	9	98	
τροχοποιός	Wheelwright		Woodwork	7	73	
τρυγήτρια	Fruit Gatherer		Agriculture, Animal Husbandry	6	61	
τυλυφάντης	Cushion weaver		Textiles	7	75	
τυροπώλης	Cheesemonger		Food Preparation and Retail	4	45	
ὑληφόρος	Wood carrier		Transport	9	98	
ὑλότομος	Woodcutter		Fuel and Raw Materials	7	71	
ὑλοφόρος	Wood carrier		Transport	9	98	
ὑοπώλης	Pig Dealer		Agriculture, Animal Husbandry	6	62	
ὑπηρετής	Architect’s assistant		Construction	9	95	
ὑποδηματοποιός	Sandal maker		Leatherwork and Footwear	8	80	
ὑποδιδάσκαλος	Teacher’s assistant		Education and Training	1	13	
ὑποκριτής	Actor		Drama and Entertainment	1	17	
ὑφάντης	Weaver		Textiles	7	75	
φαρμακοπώλης	Druggist		Perfumes, Aromatics, and Nostrums	0	6	
φαρμακοτρίβης	Drug (or colour) grinder		Perfumes, Aromatics, and Nostrums	0	6	
φιλόσοφος	Philosopher/sophist		Education and Training	1	19	
φορμόφορος	Porter/stevedore		Transport	9	98	
φόρταξ	Porter/stevedore		Transport	9	98	
φορτηγός	Maritime trader		Seafaring/Maritime	9	98	
φρεώρυχος	Well-digger		Construction	7	71	
χαλκεύς	Smith		Metalwork	7	72	
χαλκοπώλης	Bronze dealer		Metalwork	4	45	
χαριτόπωλις	Charm seller	Seller of Favours	Miscellaneous Retail	4	45	
χιδροπώλης	Seller of Wheaten Groats		Food Preparation and Retail	4	41	
χλαμυδουργός	Mantle maker		Textiles	7	79	
χλανιδοποιός	Cloak maker		Textiles	7	79	
χοιροπώλης	Pig Dealer		Agriculture, Animal Husbandry	6	62	
χορδοπώλης	Seller of instrument strings		Musical Instruments	8	81	
χρησμολόγος	oracle interpreter		Education and Training	1	14	
χρυσοπώλης	Gold merchant		Metalwork	4	45	
χρυσόχοος	Goldsmith		Metalwork	7	72	
χρυσώτής	Gilder		Metalwork	7	72	
χυτροπώλης	Pot seller		Ceramics	4	45	
ᾠόπωλις	Egg Seller		Food Preparation and Retail	4	45	
