,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff,western_province,inscr_N,occups_list,occups_N,occups_unique_N,inscr_N_post235,occups_N_post235,ratio_post235,city_province,occups_cats_list,occups_cats_unique_N,occups_cats_vec,shares_vec,ZI,largest_cat,ZI_cat,shares_weighted_vec,RZI,RZI_cat,DI
173,Hanson2016_174,Cillium,Kasserine,Africa Proconsularis,Tunisia,3,33 C2,69,,Lepelley 1979-1981; PECS; Salmon 1969; Sear 2006; Wilson 2011.,31.0,Inhabited area,"['Colonia', 'Municipium']","['Aqueduct', 'Arch', 'Baths', 'Forum?', ""Temple ('capitolium')"", 'Temple of Jupiter and Ceres', 'Theatre', 'Urban grid']",8,POINT (8.799233 35.167704),174,,,,,4113.0,,True,83.0,['aerarius'],1.0,1.0,3.0,0.0,0.03614457831325301,Cillium (Africa Proconsularis),['Metal-Working'],1,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Metal-Working,"[ 0.          0.         10.45979899  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",10.459798994974873,Metal-Working,1.0
174,Hanson2016_175,Clupea,Kelibia,Africa Proconsularis,Tunisia,4 or 5,32 H3,-310,,BNP; Brunt 1971; Cornell and Mathews 1982; DGRG; MacMullen 2000; PECS; Salmon 1969.,,,"['Colonia', 'Rights and privileges', 'Rights and privileges']","[""Temple ('capitolium')""]",1,POINT (11.099916 36.849616),175,,,,,1000.0,,True,61.0,"['sartor', 'curator']",2.0,2.0,4.0,1.0,0.06557377049180328,Clupea (Africa Proconsularis),"['Miscellaneous Services', 'Managerial']",2,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1],"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.
 0.5]",0.5,1,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.38294219
 0.         0.         0.         0.         0.         0.
 3.76061427]",3.7606142728093945,Miscellaneous Services,2.0
175,Hanson2016_176,Curubis,Korba,Africa Proconsularis,Tunisia,4 or 5,32 G3,-45,,Brunt 1971; Cornell and Mathews 1982; DGRG; MacMullen 2000; Salmon 1969; Sear 2006.,,,"['Colonia', 'Rights and privileges', 'Rights and privileges']",['Theatre'],1,POINT (10.857137 36.57591),176,,,,,1000.0,,True,13.0,"['curator', 'curator']",2.0,1.0,0.0,0.0,0.0,Curubis (Africa Proconsularis),"['Managerial', 'Managerial']",1,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,2,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
176,Hanson2016_177,Gigthis,Bou Grara,Africa Proconsularis,Tunisia,3,35 C1,-200,,BNP; Boatwright 2000; Lepelley 1979-1981; PECS; Quinn and Wilson 2013; Wilson 2011.,50.0,Inhabited area,"['Municipium', 'Rights and privileges']","['Basilica', 'Baths', 'Baths', 'Curia', 'Forum', 'Fountain', 'Harbour', 'Macellum', 'Shrine of Apollo', 'Shrine of Genii Augusti', 'Shrine of Hercules', 'Temple', ""Temple ('capitolium')"", 'Temple (E)', 'Temple of Concordia Panthea', 'Temple of Isis and Serapis', 'Temple of Liber Pater', 'Temple of Mercury']",18,POINT (10.6795 33.5415),177,,,,,7790.0,,True,132.0,"['conditor', 'curator', 'fullo', 'scriba', 'conditor', 'ornator']",6.0,5.0,3.0,0.0,0.022727272727272728,Gigthis (Africa Proconsularis),"['Food-Production', 'Managerial', 'Clothing', 'Education', 'Food-Production', 'Miscellaneous Services']",5,[2 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1],"[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.16666667 0.         0.         0.16666667
 0.16666667 0.         0.         0.         0.         0.
 0.16666667]",0.3333333333333333,2,Food-Production,"[5.94289793 0.         0.         0.         0.         0.
 0.         0.         3.45190713 0.         0.         0.79431406
 2.73701512 0.         0.         0.         0.         0.
 1.25353809]",5.942897930049964,Food-Production,4.499999999999999
177,Hanson2016_178,Hadrumetum,Sousse,Africa Proconsularis,Tunisia,3,33 G1,-150,,BNP; Brunt 1971; DGRG; Lepelley 1979-1981; MacMullen 2000; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011; Woloch 1983.,156.0,Walls,"['Colonia', 'Colonia', 'Conventus capital', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Arch', 'Arch', 'Baths', 'Forum', 'Hippodrome', 'Nymphaeum', 'Temple', 'Temple', 'Temple', 'Temple', 'Theatre', 'Walls']",14,POINT (10.637607 35.824984),178,,,,,35625.0,,True,762.0,"['navicularius', 'decanus', 'navicularius', 'vestiarius', 'navicularius', 'arcarius']",6.0,4.0,15.0,0.0,0.01968503937007874,Hadrumetum (Africa Proconsularis),"['Transport', 'Managerial', 'Transport', 'Retail', 'Transport', 'Finance']",4,[0 1 0 0 0 0 3 0 0 0 0 1 0 0 0 0 1 0 0],"[0.         0.16666667 0.         0.         0.         0.
 0.5        0.         0.         0.         0.         0.16666667
 0.         0.         0.         0.         0.16666667 0.
 0.        ]",0.5,3,Transport,"[ 0.          2.05580247  0.          0.          0.          0.
 13.47249191  0.          0.          0.          0.          0.79431406
  0.          0.          0.          0.          8.30938124  0.
  0.        ]",13.472491909385113,Transport,2.9999999999999996
178,Hanson2016_179,Hippo Diarrhytus,Bizerte,Africa Proconsularis,Tunisia,3,32 E2,-46,,Brunt 1971; Cornell and Mathews 1982; DGRG; MacMullen 2000; Salmon 1969; Wilson 2011.,,,"['Colonia', 'Colonia', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']",['Harbour'],1,POINT (9.8708 37.272),179,,,,,1000.0,,True,42.0,['scaenicus'],1.0,1.0,3.0,0.0,0.07142857142857142,Hippo Diarrhytus (Africa Proconsularis),['Performing Arts'],1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1,Performing Arts,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         22.08488064  0.          0.          0.
  0.        ]",22.084880636604776,Performing Arts,1.0
179,Hanson2016_180,Lepcis Magna,Lebda,Africa Proconsularis,Libya,1,35 G2,-30,,Bomgardner 2000; Golvin 1988; Humphrey 1986; Lepelley 1979-1981; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011; Woloch 1983.,466.0,Ramparts,"['Colonia', 'Colonia', 'Municipium', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Arch', 'Arch', 'Arch of Antoninus Pius', 'Arch of Marcus Aurelius', 'Arch of Septimius Severus', 'Arch of Trajan', 'Arch of Vespasian', 'Basilica', 'Baths', 'Baths', 'Baths', 'Baths (Hunting Baths)', 'Baths (Unfinished)', 'Baths of Hadrian', 'Chalcidium', 'Colonnaded streets', 'Curia', 'Forum (New)', 'Forum (Old)', 'Fountain', 'Fountain', 'Harbour', 'Hippodrome', 'Macellum', 'Nymphaeum', 'Ramparts', 'Sanctuary of Hercules / Melqart', 'Temple', 'Temple', 'Temple', 'Temple', ""Temple ('capitolium')"", 'Temple of Antoninus Pius', 'Temple of Augustus?', 'Temple of Ceres', 'Temple of Jupiter Dolichenus', 'Temple of Liber Pater', 'Temple of Magna Mater', 'Temple of Rome and Augustus', 'Theatre', 'Unidentified public building', 'Urban grid', 'Urban grid', 'Walls (Late Roman)']",46,POINT (14.29306 32.63833),180,,,,,153722.0,,True,870.0,"['curator', 'curator', 'ornatrix', 'marmorarius', 'ornator', 'structor', 'curator', 'ornator', 'forensis', 'curator', 'curator', 'curator', 'curator', 'curator', 'curator', 'curator', 'curator', 'curator', 'curator', 'curator', 'pantomimus', 'architectus', 'ornator', 'curator', 'lucernarius', 'curator']",26.0,9.0,108.0,7.0,0.12413793103448276,Lepcis Magna (Africa Proconsularis),"['Managerial', 'Managerial', 'Miscellaneous Services', 'Building', 'Miscellaneous Services', 'Building', 'Managerial', 'Miscellaneous Services', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Performing Arts', 'Building', 'Miscellaneous Services', 'Managerial', 'Household Goods', 'Managerial']",5,[ 0  0  0  0  0  1  0  0  0  0  0 17  0  0  1  0  0  3  4],"[0.         0.         0.         0.         0.         0.03846154
 0.         0.         0.         0.         0.         0.65384615
 0.         0.         0.03846154 0.         0.         0.11538462
 0.15384615]",0.6538461538461539,17,Managerial,"[0.         0.         0.         0.         0.         1.91754952
 0.         0.         0.         0.         0.         3.11615517
 0.         0.         0.84941849 0.         0.         1.54204223
 1.15711208]",3.1161551670996435,Managerial,2.1392405063291138
180,Hanson2016_181,Leptiminus,Lemta,Africa Proconsularis,Tunisia,3,33 G1,-150,,BNP; Bomgardner 2000; PECS; Russell 1958; Sear 2006; Wilson 2011.,52.0,Inhabited area,"['Colonia', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Aqueduct', 'Baths', 'Baths', 'Baths', 'Cult of Liber Pater', 'Forum', 'Harbour', 'Theatre']",10,POINT (10.898 35.666),181,,,,,8209.0,,True,305.0,"['exceptor', 'aerarius', 'faber', 'faber']",4.0,3.0,6.0,0.0,0.019672131147540985,Leptiminus (Africa Proconsularis),"['Education', 'Metal-Working', 'Unclassified', 'Unclassified']",3,[0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0],"[0.   0.   0.25 0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.
 0.   0.5  0.   0.   0.  ]",0.5,2,Unclassified,"[0.         0.         2.61494975 0.         0.         0.
 0.         0.         5.1778607  0.         0.         0.
 0.         0.         0.         6.00721501 0.         0.
 0.        ]",6.007215007215008,Unclassified,2.6666666666666665
181,Hanson2016_182,Limisa,Ksar Lemsa,Africa Proconsularis,Tunisia,3,32 E4,100,,PECS; Quinn and Wilson 2013; Sear 2006.,,,"['Municipium', 'Rights and privileges']","['Amphitheatre', ""Temple ('capitolium')"", 'Theatre']",3,POINT (9.691873 36.035878),182,,,,,1000.0,,True,190.0,"['conditor', 'curator', 'athleta']",3.0,3.0,0.0,0.0,0.0,Limisa (Africa Proconsularis),"['Food-Production', 'Managerial', 'Performing Arts']",3,[1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0],"[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.         0.         0.33333333 0.         0.         0.
 0.        ]",0.3333333333333333,1,Food-Production,"[5.94289793 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.58862812
 0.         0.         7.36162688 0.         0.         0.
 0.        ]",7.361626878868258,Performing Arts,3.0
183,Hanson2016_184,Mactaris,Mactar,Africa Proconsularis,Tunisia,3,33 D1,-50,,BNP; Bomgardner 2000; Lepelley 1979-1981; PECS; Quinn and Wilson 2013; Salmon 1969; Wilson 2011.,,,"['Colonia', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Arch of Trajan', 'Baths (East)', 'Baths (Large)', 'Baths (North)', 'Baths (South-East)', 'Forum (New)', 'Forum (Old)', 'Macellum?', 'Palaestra', ""Temple ('capitolium')"", 'Temple of Baal Hammon / Saturn', 'Temple of Bacchus', 'Temple of Ceres?', 'Temple of Hathor Miskar', 'Temple of Magna Mater?', 'Temple of Neptune?', 'Temple of Reshep? / Apollo and Diana', 'Temple of Rome and Augustus?', 'Temple of Shadrap / Liber Pater']",21,POINT (9.207183 35.853814),184,,,,,1000.0,,True,694.0,"['curator', 'aerarius', 'faber', 'curator', 'curator', 'sagittarius', 'curator', 'curator', 'curator', 'sagittarius', 'conditor', 'conditor', 'conditor', 'curator', 'curator', 'curator', 'curator', 'aerarius', 'curator', 'fullo']",20.0,6.0,5.0,0.0,0.007204610951008645,Mactaris (Africa Proconsularis),"['Managerial', 'Metal-Working', 'Unclassified', 'Managerial', 'Managerial', 'Metal-Working', 'Managerial', 'Managerial', 'Managerial', 'Metal-Working', 'Food-Production', 'Food-Production', 'Food-Production', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Metal-Working', 'Managerial', 'Clothing']",5,[ 3  0  4  0  0  0  0  0  0  0  0 11  1  0  0  1  0  0  0],"[0.15 0.   0.2  0.   0.   0.   0.   0.   0.   0.   0.   0.55 0.05 0.
 0.   0.05 0.   0.   0.  ]",0.55,11,Managerial,"[2.67430407 0.         2.0919598  0.         0.         0.
 0.         0.         0.         0.         0.         2.62123641
 0.82110454 0.         0.         0.6007215  0.         0.
 0.        ]",2.674304068522484,Food-Production,2.702702702702702
184,Hanson2016_185,Maraci,Ksar Toual Zammel,Africa Proconsularis,Tunisia,4 or 5,33 D1,100,,PECS; Quinn and Wilson 2013.,,,,"['Capitolium?', 'Forum']",2,POINT (9.222873 36.029941),185,,,,,1000.0,,True,27.0,['curator'],1.0,1.0,0.0,0.0,0.0,Maraci (Africa Proconsularis),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
185,Hanson2016_186,Maxula,Radès,Africa Proconsularis,Tunisia,4 or 5,32 F3,-27,,BNP; Brunt 1971; DGRG; Lepelley 1979-1981; MacMullen 2000; Quinn and Wilson 2013; Salmon 1969.,,,"['Colonia', 'Rights and privileges']",['Capitolium?'],1,POINT (10.271569 36.768841),186,,,,,1000.0,,True,15.0,"['asinarius', 'asinarius']",2.0,1.0,0.0,0.0,0.0,Maxula (Africa Proconsularis),"['Transport', 'Transport']",1,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,2,Transport,"[ 0.          0.          0.          0.          0.          0.
 26.94498382  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",26.944983818770226,Transport,1.0
