hisco_code	hisco_major	hisco_minor	occupations	translations	category	count
80110	80	801	καψάριος, ἀσκοποιός, σκυτότομος (+ 3 more)	Maker of small bags, Wineskin maker, Leather worker/shoemaker (+ 3 more)	Leatherwork and Footwear	29
62210	62	622	κηπουρός, ὀρνιθοπώλης, κρεοπώλης	Market Gardener, Bird Dealer, Butcher	Agriculture, Animal Husbandry	26
16120	16	161	ἀγαλματοποιός, ἀνδριαντοποιός	Statue maker	Stonework	21
75120	75	751	βαφεύς	Dyer	Textiles	20
76990	76	769	διφθεράριος, λανάριος, ταλασιουργός (+ 1 more)	Parchment-maker, Wool worker, Woolworker (+ 1 more)	Writing and the Book Trade	17
73210	73	732	ναυπηγός	Shipwright	Woodwork	15
79120	79	791	ῥάπτης, βρακάριος, ἀκέστρια (+ 1 more)	Clothes mender, Maker of trousers, Seamstress (+ 1 more)	Textiles	13
17990	17	179	θαυματοποιός, θεατής, σκευοποιός	street fair entertainer/ puppeteer, Spectator, Maker of drama equipment	Drama and Entertainment	13
73990	73	739	πρίστης, ἀκονητής, ζυγοποιός (+ 2 more)	Sawyer, Polisher, furbisher, grinder, Yoke maker (+ 2 more)	Woodwork	12
79990	79	799	πλουμάριος	Feather worker	Textiles	12
6145	61	614	γεωμέτρης	Surveyor	Construction	10
98310	98	983	κοπρολόγος, λιθαγωγός	Dung collector, Stone haulier	Transport	9
6390	63	639	μυρεψός	Perfume boiler	Perfumes, Aromatics, and Nostrums	9
64110	64	641	ἁλιεύς	Fisherman	Seafaring/Maritime	9
16190	16	161	ψηφοθέτης, μουσιάριος	Mosaicer, maker of mosaic, Mosaic worker	Stonework	8
51190	51	511	δειπνοποιός, ἀρτοπώλης, ἀρτόπωλις (+ 1 more)	Caterer, Bread Seller, Cake Seller	Food Preparation and Retail	8
13990	13	139	ὑποδιδάσκαλος, μανθάνων	Teacher’s assistant, Student	Education and Training	7
43190	43	431	περιηγητής	Traveler	Exploration and Travel	7
75990	75	759	γναφαλλουφάντης, στυππειοπλόκος	Flock weaver, Ropemaker	Textiles	6
62990	62	629	σκαφεύς	Digger	Agriculture, Animal Husbandry	5
54990	54	549	κοπιάτης	Grave-digger, sexton	Miscellaneous	5
72990	72	729	κρανοποιός, δορυξός, θωρακοποιός (+ 1 more)	Helmet maker, Spear maker, Cuirass maker (+ 1 more)	Armaments	4
75110	75	751	ὑφάντης	Weaver	Textiles	3
54120	54	541	μυλωθρός	Miller	Food Preparation and Retail	2
71120	71	711	ὑλότομος, μεταλλεύς	Woodcutter, Miner	Fuel and Raw Materials	2
71990	71	719	δικτυοπλόκος	Net maker	Cordage and Basketry	1
15120	15	151	λογόγραφος	Speech-writer	Writing and the Book Trade	1
83990	83	839	πριονοποιός	Saw maker	Tools	1
83120	83	831	ὀβελισκοποιός	Skewer maker	Metalwork	1
76120	76	761	βυρσοδέψης	Tanner	Leatherwork and Footwear	1
53990	53	539	κηροματίτης	Masseur, trainer	Miscellaneous	1
