Term	Translation_ENG	Translation_LSJ	Category_SHL	HISCO_code	Source	Latin_equivalent	
αὐλοτρύπης	Aulos maker		Musical Instruments	81990	Harris 2002		
βάπτρια	Dyer		Textiles	75120	Harris 2002		
βαφεύς	Dyer		Textiles	75120	Harris 2002		
βελονοπώλης	Needle seller		Miscellaneous Retail	45190	Harris 2002		
βελονόπωλις	Needle seller	No Translation	Miscellaneous Retail	45190	Harris 2002		
βιβλιαγράφος	scrivener		Writing and the Book Trade	30120	Lewis 2020		
βιβλιοπώλης	Bookseller		Writing and the Book Trade	45190	Harris 2002		
βουκάπηλος	Cattle Dealer		Agriculture, Animal Husbandry	62210	Lewis 2020		
βούκολος	Cowherd		Agriculture, Animal Husbandry	61110	Harris 2002		
βουφορβός	Cowherd	Herd of Oxen	Agriculture, Animal Husbandry	61110	Harris 2002		
βυρσοδέψης	Tanner		Leatherwork and Footwear	76120	Harris 2002		
βυρσοπώλης	Leather seller		Leatherwork and Footwear	45190	Harris 2002		
γελγοπώλης	Garlic Seller		Food Preparation and Retail	45190	Harris 2002		
γεωμέτρης	Surveyor		Construction	6145	Harris 2002		
γεωργός	Farmer	Husbandman	Agriculture, Animal Husbandry	61110	Harris 2002		
γναφαλλουφάντης	Flock weaver		Textiles	75990	Harris 2002		
γναφεύς	Fuller		Textiles	75140	Harris 2002		
γραμματικός	Grammarian		Literature and Scholarship	13920	Harris 2002		
γραμματιστής	Elementary school teacher		Education and Training	13130	Harris 2002		
γραφεύς	Scrivener/copyist		Writing and the Book Trade	30120	Lewis 2020		
δαιδοσχίστης	Pine torch cutter		Fuel and Raw Materials	71990	Lewis 2020		
δακτυλιογύφος	Gem engraver		Jewellery	88120	Harris 2002		
δακτυλιουργός	Ring maker		Jewellery	88120	Harris 2002		
δαφνοπώλης	Laurel seller	Bay-Seller	Miscellaneous Retail	45190	Lewis 2020		
δειπνοποιός	Caterer		Food Preparation and Retail	51190	Harris 2002		
διδάσκαλος	Teacher		Education and Training	13130	Harris 2002		
δικτυοπλόκος	Net maker		Cordage and Basketry	71990	Lewis 2020		
διφθεροπώλης	Leather seller		Leatherwork and Footwear	45190	Harris 2002		
δοιδυκοποιός	Pestle maker		Woodwork	73990	Harris 2002		
δορυξός	Spear maker		Armaments	72990	Harris 2002		
δραπεταγωγός	runaway catcher		Miscellaneous Retail	49190	Lewis 2020		
δρεπανουργός	Sickle maker		Tools	83120	Harris 2002		
ἐγκριδοπώλης	Honey Cake Seller		Food Preparation and Retail	51190	Lewis 2020		
εἰροπλόκος	Wool weaver or plaiter		Textiles	76990	Harris 2002		
ἐλαιοκόμος	Olive Picker/Tender	Olive Rearer	Agriculture, Animal Husbandry	61110	Harris 2002		
ἐλαιολόγος	Olive Picker/Tender	Olive-Gatherer	Agriculture, Animal Husbandry	61110	Harris 2002		
ἔμπορος	Maritime trader		Seafaring/Maritime	41110	Harris 2002		
ἐπίγραμμα	Epigrammatist		Drama and Entertainment	17150	Harris 2002		
ἔριθος	Woolworker		Textiles	76990	Harris 2002		
ἐριοπώλης	Wool seller		Textiles	45190	Harris 2002		
ἑρμογλύφευς	Herm carver		Woodwork	73990	Lewis 2020		
ζευγότροφος	Teamster		Agriculture, Animal Husbandry	61110	Harris 2002		
ζυγοποιός	Yoke maker		Woodwork	73990	Lewis 2020		
ἡδύοιονος	Sweet Wine Dealer	No Translation	Food Preparation and Retail	45190	Harris 2002		
ἡνιοποιεῖον	Bridle maker		Leatherwork and Footwear	80110	Harris 2002		
ἡνίοχος	charioteer		Transport	98510	Lewis 2020		
θαυματοποιός	street fair entertainer/ puppeteer		Drama and Entertainment	17990	Lewis 2020		
θεατής	Spectator		Drama and Entertainment	17990	Harris 2002		
θεατροπώλης	Seller of theatre tickets		Miscellaneous Retail	49190	Lewis 2020		
θυροποιός	Door maker		Woodwork	73110	Lewis 2020		
θωρακοποιός	Cuirass maker		Armaments	72990	Harris 2002		
ἱματιοπώλης	Clothes dealer		Textiles	45190	Harris 2002		
ἱματιόπωλις	Clothes dealer		Textiles	45190	Harris 2002		
ἰπνοπλάθης	Oven maker		Ceramics	89120	Lewis 2020		
ἰπνοπλάθος	Oven maker		Ceramics	89120	Lewis 2020		
ἱππικός	Riding trainer		Education and Training	18190	Harris 2002		
ἱπποδρόμος	Charioteer		Sports and Competition	18990	Harris 2002		
ἱστιορράφος	Sail stitcher		Textiles	79120	Lewis 2020		
ἰσχαδοπώλης	Seller of Dried Figs		Food Preparation and Retail	45190	Lewis 2020		
ἰτριοπώλης	Cake Seller		Food Preparation and Retail	51190	Lewis 2020		
ἰχθυοπώλης	Fishmonger		Food Preparation and Retail	45190	Harris 2002		
καναβιουργός	Maker of frames (?)		Woodwork	73990	Harris 2002		
καπηλίς	Retailer		Miscellaneous Retail	49190	Harris 2002		
κάπηλος	Retailer		Miscellaneous Retail	49190	Harris 2002		
καρυοπώλης	Nut Seller		Food Preparation and Retail	45190	Harris 2002		
καυλοπώλης	Greengrocer		Food Preparation and Retail	45190	Lewis 2020		
κεκρυφαλοπλόκος	Hairnet maker		Textiles	79120	Lewis 2020		
κελευστής	Rowing master		Seafaring/Maritime	98110	Harris 2002		
κεραμεύς	Potter		Ceramics	89120	Harris 2002		
κεραμοπώλης	Pot seller		Ceramics	45190	Lewis 2020		
κηπουρός	Market Gardener	Gardener	Agriculture, Animal Husbandry	62210	Harris 2002		
κηπωρός	Market Gardener	No Translation	Agriculture, Animal Husbandry	62210	Harris 2002		
κιθαριστής	Kithara teacher/player		Education and Training	13920	Harris 2002		
κλινοποιός	Furniture maker		Woodwork	95110	Harris 2002		
κοιλοπώλης	tripe seller		Food Preparation and Retail	45190	Lewis 2020		
κολλοπώλης	Glue seller		Miscellaneous Retail	45190	Lewis 2020		
κοπρολόγος	Dung collector		Transport	98310	Harris 2002		
κοροπλάθος	Coroplast		Ceramics	89120	Lewis 2020		
κοσκινοποιός	Sieve maker		Tools	83990	Lewis 2020		
κοσκινοπώλης	Sieve seller		Tools	83990	Lewis 2020		
κρανοποιός	Helmet maker		Armaments	72990	Harris 2002		
κρεοπώλης	Butcher		Food Preparation and Retail	62210	Harris 2002		
κριθοπώλης	Grain Dealer	Barley Dealer	Food Preparation and Retail	41110	Harris 2002		
κροκοπώλης	Saffron Seller	No Translation	Food Preparation and Retail	45190	Lewis 2020		
κρομμυοπώλης	Onion Seller		Food Preparation and Retail	45190	Harris 2002		
κτενοπώλης	Comb seller		Miscellaneous Retail	49190	Lewis 2020		
κυβερνήτης	Helmsman		Seafaring/Maritime	98110	Harris 2002		
κυμινοπώλης	Cumin Seller		Food Preparation and Retail	45190	Harris 2002		
κυρηβιοπώλης	Chaff seller		Miscellaneous Retail	45190	Lewis 2020		
κωμῳδοποιός	Comic poet/playwright		Drama and Entertainment	17110	Harris 2002		
λαχανόπολις	Greengrocer	No Translation	Food Preparation and Retail	45190	Lewis 2020		
λεκιθοπώλης	Pulse Seller	Peasepudding-seller	Food Preparation and Retail	45190	Harris 2002		
ληκυθοπώλης	Oil flask seller		Ceramics	45190	Lewis 2020		
λιβανοπώλης	Incense seller		Perfumes, Aromatics, and Nostrums	45190	Harris 2002		
λιβανοτοπώλης	Incense seller		Perfumes, Aromatics, and Nostrums	45190	Harris 2002		
λιβανοτόπωλις	Incense seller		Perfumes, Aromatics, and Nostrums	45190	Harris 2002		
λιθοκόπος	Stonecutter/quarryman		Stonework	82120	Harris 2002		
λιθουργός	Stonemason		Stonework	82120	Harris 2002		
λινουργός	Linen worker		Textiles	75130	Harris 2002		
λιτροπώλης	Nitre seller		Fuel and Raw Materials	45190	Lewis 2020		
λογόγραφος	Speech-writer		Writing and the Book Trade	15120	Harris 2002		
λοφοποιός	Maker of helmet crests		Armaments	72990	Harris 2002		
λυγειπνός	Singer		Drama and Entertainment	17320	Harris 2002		
λυροποιός	Lyre maker		Musical Instruments	81990	Harris 2002		
λυχνοποιός	Lamp maker		Ceramics	89120	Harris 2002		
λυχνοπώλης	Lamp seller		Ceramics	45190	Harris 2002		
μανθάνων	Student		Literature and Scholarship	13990	Harris 2002		μανθάνων, μανθάνοντος, μανθάνοντι, μανθάνοντα, μανθάνοντες, μανθάνων, μανθάνοντι
μάντις	Seer		Education and Training	14990	Lewis 2020		μάντις, μάντεως, μάντει, μάντεα, μάντεις, μάντεων, μάντεσι
μαχαιροποιός	Knife maker		Tools	83120	Harris 2002		μαχαιροποιός, μαχαιροποιοῦ, μαχαιροποιῷ, μαχαιροποιόν, μαχαιροποιοί, μαχαιροποιῶν, μαχαιροποιοῖς
μαχαιροπώλης	Knife seller		Tools	45190	Lewis 2020		μαχαιροπώλης, μαχαιροπώλου, μαχαιροπώλῃ, μαχαιροπώλην, μαχαιροπῶλαι, μαχαιροπώλων, μαχαιροπώλαις
μελιτοπώλης	Honey Seller		Food Preparation and Retail	45190	Harris 2002		μελιτοπώλης, μελιτοπώλου, μελιτοπώλῃ, μελιτοπώλην, μελιτοπῶλαι, μελιτοπώλων, μελιτοπώλαις
μελιττουργός	Beekeeper		Agriculture, Animal Husbandry	62210	Lewis 2020		μελιττουργός, μελιττουργοῦ, μελιττουργῷ, μελιττουργόν, μελιττουργοί, μελιττουργῶν, μελιττουργοῖς
μεμβραδοπώλης	Sardine Seller	Anchovies Seller	Food Preparation and Retail	45190	Lewis 2020		μεμβραδοπώλης, μεμβραδοπώλου, μεμβραδοπώλῃ, μεμβραδοπώλην, μεμβραδοπῶλαι, μεμβραδοπώλων, μεμβραδοπώλαις
μεταλλεύς	Miner		Fuel and Raw Materials	71120	Harris 2002		μεταλλεύς, μεταλλέως, μεταλλεῖ, μεταλλέα, μεταλλεῖς, μεταλλέων, μεταλλεῦσι
μεταλλευτής	Miner		Fuel and Raw Materials	71120	Harris 2002		μεταλλευτής, μεταλλευτοῦ, μεταλλευτῇ, μεταλλευτήν, μεταλλευταί, μεταλλευτῶν, μεταλλευταῖς
μολυβδοκόπος	Lead cutter		Metalwork	72110	Harris 2002		μολυβδοκόπος, μολυβδοκόπου, μολυβδοκόπῳ, μολυβδοκόπον, μολυβδοκόποι, μολυβδοκόπων, μολυβδοκόποις
μουσικός	Musician		Drama and Entertainment	17320	Harris 2002		μουσικός, μουσικοῦ, μουσικῷ, μουσικόν, μουσικοί, μουσικῶν, μουσικοῖς
μυλοκόπος	Millstone cutter		Stonework	82120	Lewis 2020		
μυλωθρός	Miller		Food Preparation and Retail	54120	Harris 2002		
μυρεψός	Perfume boiler		Perfumes, Aromatics, and Nostrums	6390	Harris 2002		
μυροπώλης	Perfume seller		Perfumes, Aromatics, and Nostrums	45190	Harris 2002		
μυρόπωλις	Perfume seller		Perfumes, Aromatics, and Nostrums	45190	Harris 2002		
μυστριοπώλης	Spoon seller	Small spoon sellers	Miscellaneous Retail	45190	Lewis 2020		
ναύκληρος	Shipmaster		Seafaring/Maritime	98110	Harris 2002		
ναυπηγός	Shipwright		Woodwork	73210	Harris 2002		
ναύτης	Sailor		Seafaring/Maritime	98110	Harris 2002		
νευρορράφος	Cobbler		Leatherwork and Footwear	80110	Lewis 2020		
ξιφουργός	Swordsmith		Armaments	72110	Lewis 2020		
ξυλοπώλης	Timber wholesaler		Woodwork	41110	Lewis 2020		
ξυλουργός	Turner		Woodwork	73990	Harris 2002		
ὀβελισκοποιός	Skewer maker		Metalwork	83120	Harris 2002		
πηλοφορῶν	Carrier of clay or mortar		Transport	98310	Harris 2002		
οἰκοδομος	Builder		Construction	95110	Harris 2002		
οἰνοπώλης	Wine Dealer		Food Preparation and Retail	45190	Harris 2002		
οἰσουργός	Basketmaker		Cordage and Basketry	71990	Lewis 2020		
ὁλμοποιός	Mortar maker		Woodwork	73990	Harris 2002		
ὀνελάτης	Ass driver		Transport	98510	Harris 2002		
ὀνοκόμος	Ass keeper		Transport	98510	Harris 2002		
ὀξοπώλης	Vinegar Dealer		Food Preparation and Retail	45190	Lewis 2020		
ὁπλομάχος	Weapons trainer		Education and Training	18190	Lewis 2020		
ὀπωρώνης	Fruit Seller	Garden-Watcher	Agriculture, Animal Husbandry	62210	Lewis 2020		
ὀρεοκόμος	Muleteer		Transport	98510	Harris 2002		
ὀρνιθευτής	Fowler	Bird-Catcher	Agriculture, Animal Husbandry	64120	Lewis 2020		
ὀρνιθοκάπηλος	Bird Dealer		Agriculture, Animal Husbandry	62210	Harris 2002		
ὀρνιθοπώλης	Bird Dealer		Agriculture, Animal Husbandry	62210	Harris 2002		
ὀρτυγοθήρας	Quail Trapper	Keeper of quails	Agriculture, Animal Husbandry	61110	Lewis 2020		
ὀρτυγοκόμος	Quail Rearer	Keeper of quails	Agriculture, Animal Husbandry	61110	Lewis 2020		
ὀρτυγοπώλης	Quail Dealer		Agriculture, Animal Husbandry	62210	Harris 2002		
ὀρτυγοτρόφος	Quail Rearer	Keeper of quails	Agriculture, Animal Husbandry	61110	Lewis 2020		
ὀσπριοπώλης	Pulse Seller		Food Preparation and Retail	45190	Lewis 2020		
παγκρατιαστής	Pancratiast		Sports and Competition	18990	Harris 2002		
παιδοτρίβης	Physical trainer		Education and Training	18190	Harris 2002		
παλιγκάπηλος	Wholesaler/middleman		Miscellaneous Retail	41110	Lewis 2020		
πένταθλος	Pentathlete		Sports and Competition	18990	Harris 2002		
περιηγητής	Traveler		Exploration and Travel	43190	Harris 2002		
περσικοποιός	Maker of slippers		Leatherwork and Footwear	80110	Harris 2002		
πιλοποιός	Hatter/felter		Textiles	79120	Lewis 2020		
πινακοπώλης	one who sells birds from a tray		Agriculture, Animal Husbandry	45190	Lewis 2020		
πλινθουργός	Brick maker		Construction	95110	Harris 2002	laterarius	
πλινθόφορος	Brick carrier		Construction	95110	Harris 2002		
πλυνεύς	Clothes washer		Textiles	75140	Harris 2002		
πλύντης	Clothes washer		Textiles	75140	Harris 2002		
πλύντρια	Clothes washer		Textiles	75140	Harris 2002		
ποάστρια	Herb Cutter	Weeder / Grass-cutter	Agriculture, Animal Husbandry	61110	Lewis 2020		
ποδωκέας	Runner		Sports and Competition	18990	Harris 2002		
ποιητής	Maker, poet		Literature and Scholarship	17150	Harris 2002		
ποιητικός	Poet		Literature and Scholarship	17150	Harris 2002		
ποικιλτής	Pattern weaver		Textiles	75110	Harris 2002		
ποιμήν	Shepherd	Herdsman	Agriculture, Animal Husbandry	61110	Harris 2002		
πορθμεύς	Ferryman		Seafaring/Maritime	98110	Harris 2002		
πριονοποιός	Saw maker		Tools	83990	Lewis 2020		
πρίστης	Sawyer		Woodwork	73990	Harris 2002		
προβατοκάπηλος	Sheep Dealer		Agriculture, Animal Husbandry	62210	Harris 2002		
προβατοπώλης	Sheep Dealer		Agriculture, Animal Husbandry	62210	Harris 2002		
προμετρητής	Surveyor		Construction	6145	Harris 2002		
πρῳρεύς	Quartermaster		Seafaring/Maritime	98110	Harris 2002		
πυκτεύς	Boxer		Sports and Competition	18990	Harris 2002		
πυροκάπηλος	Barley Dealer	No Translation	Food Preparation and Retail	41110	Lewis 2020		
πυροπώλης	Barley Dealer	Wheat-merchant	Food Preparation and Retail	41110	Lewis 2020		
ῥακιοσυρραπτάδης	Clothes mender		Textiles	79120	Harris 2002		
ῥάπτης	Clothes mender		Textiles	79120	Petrikovits, 1981, p.287	sarcinator	
ῥήτωρ	Orator		Literature and Scholarship	17150	Harris 2002		
ῥιζοπώλης	Root seller		Perfumes, Aromatics, and Nostrums	45190	Harris 2002		
ῥιζότομος	Gatherer of medicinal roots		Perfumes, Aromatics, and Nostrums	6390	Harris 2002		
σακχυφάντης	Sackcloth maker		Textiles	79120	Harris 2002		
σησαμοπώλης	Sesame Seller		Food Preparation and Retail	41110	Harris 2002		
σησαμοπώλις	Sesame Seller	No Translation	Food Preparation and Retail	41110	Harris 2002		
σιδηροθργός	Ironworker		Metalwork	72110	Harris 2002		
σιδηροπώλης	Iron dealer		Metalwork	45190	Harris 2002		
σιλφιοπώλης	Silphium Seller		Food Preparation and Retail	45190	Lewis 2020		
σινδονοπώλης	Linen seller		Textiles	45190	Harris 2002		
σιτοκάπηλος	Grain Dealer	Corn-factor	Food Preparation and Retail	41110	Harris 2002		
σιτοποιός	Baker		Food Preparation and Retail	53120	Harris 2002		
σιτοπώλης	Grain Dealer	Corn-factor	Food Preparation and Retail	41110	Harris 2002		
σκανδικοπώλης	Wild Chervil Seller		Food Preparation and Retail	45190	Lewis 2020		
σκαφεύς	Digger		Agriculture, Animal Husbandry	62990	Harris 2002		
σκευοποιός	Maker of drama equipment		Drama and Entertainment	17990	Harris 2002		
σκευοπώλης	Seller of equipment	Mask seller	Miscellaneous Retail	49190	Harris 2002		
σκηνίτης	Stallholder		Miscellaneous Retail	45190	Harris 2002		
σκοροδοπώλης	Garlic Seller		Food Preparation and Retail	45190	Harris 2002		
σκυλοδέψης	Tanner		Leatherwork and Footwear	76120	Harris 2002		
σκυτοδέψης	Leather worker/shoemaker		Leatherwork and Footwear	80110	Harris 2002		
σκυτοπώλης	Leather seller		Leatherwork and Footwear	45190	Harris 2002		
σκυτότομος	Leather worker/shoemaker		Leatherwork and Footwear	80110	Harris 2002		
σοροπηγός	coffin maker		Woodwork	73990	Lewis 2020		
σοροποιός	coffin maker		Woodwork	73990	Lewis 2020		
σοφιστής	Philosopher/sophist		Education and Training	19190	Lewis 2020		
σπαρτοπώλης	Rope dealer		Cordage and Basketry	45190	Harris 2002		
σπερματοπώλης	Seed seller		Miscellaneous Retail	45190	Lewis 2020		
στεφανοπώλης	Garland seller	Dealer in crowns or chaplets	Miscellaneous Retail	45190	Harris 2002		
στεφανόπωλις	Garland seller	No Translation	Miscellaneous Retail	45190	Harris 2002		
στυππειοπλόκος	Ropemaker		Textiles	75990	Lewis 2020		
στυππειοπώλης	Rope dealer		Cordage and Basketry	45190	Harris 2002		
συβώτης	Swineherd		Agriculture, Animal Husbandry	61110	Harris 2002		
συριγγοποιός	Pan-pipe maker		Musical Instruments	81990	Harris 2002		
συρμαιοπώλης	Seller of emetics		Perfumes, Aromatics, and Nostrums	45190	Lewis 2020		
σχοινοπλόκος	Ropemaker		Textiles	75990	Lewis 2020		
ταινιοπώλις	Ribbon seller		Textiles	45190	Lewis 2020		
ταλασιουργός	Woolworker		Textiles	76990	Harris 2002		
ταπιδυφάντης	Rug weaver		Textiles	75110	Lewis 2020		
ταριχοπώλης	Salt Fish Dealer		Food Preparation and Retail	45190	Harris 2002		
τέκτων	Carpenter/joiner		Woodwork	95110	Harris 2002		
τεμαχοπώλης	Fish Slice Seller		Food Preparation and Retail	45190	Lewis 2020		
τοξοποιός	Bowyer		Armaments	72990	Lewis 2020		
τραγῳδοποιός	Tragic poet/playwright		Drama and Entertainment	17110	Harris 2002		
τριηραύλης	Aulos player on a trireme		Seafaring/Maritime	98110	Harris 2002		
τροχοποιός	Wheelwright		Woodwork	73210	Harris 2002		
τρυγήτρια	Fruit Gatherer		Agriculture, Animal Husbandry	61110	Harris 2002		
τυλυφάντης	Cushion weaver		Textiles	75110	Harris 2002		
τυροπώλης	Cheesemonger		Food Preparation and Retail	45190	Harris 2002		
ὑληφόρος	Wood carrier		Transport	98310	Lewis 2020		
ὑλότομος	Woodcutter		Fuel and Raw Materials	71120	Lewis 2020		
ὑλοφόρος	Wood carrier		Transport	98310	Lewis 2020		
ὑοπώλης	Pig Dealer		Agriculture, Animal Husbandry	62210	Lewis 2020		
ὑπηρετής	Architect’s assistant		Construction	95990	Harris 2002		
ὑποδηματοποιός	Sandal maker		Leatherwork and Footwear	80110	Harris 2002		
ὑποδιδάσκαλος	Teacher’s assistant		Education and Training	13990	Harris 2002		
ὑποκριτής	Actor		Drama and Entertainment	17120	Harris 2002		
ὑφάντης	Weaver		Textiles	75110	Harris 2002		
φαρμακοπώλης	Druggist		Perfumes, Aromatics, and Nostrums	6710	Harris 2002		
φαρμακοτρίβης	Drug (or colour) grinder		Perfumes, Aromatics, and Nostrums	6710	Harris 2002		
φιλόσοφος	Philosopher/sophist		Education and Training	19190	Lewis 2020		
φορμόφορος	Porter/stevedore		Transport	98310	Lewis 2020		
φόρταξ	Porter/stevedore		Transport	98310	Lewis 2020		
φορτηγός	Maritime trader		Seafaring/Maritime	41110	Harris 2002		
φρεώρυχος	Well-digger		Construction	71120	Lewis 2020		
χαλκεύς	Smith		Metalwork	72110	Harris 2002		
χαλκοπώλης	Bronze dealer		Metalwork	45190	Lewis 2020		
χαριτόπωλις	Charm seller	Seller of Favours	Miscellaneous Retail	45190	Harris 2002		
χιδροπώλης	Seller of Wheaten Groats		Food Preparation and Retail	41110	Lewis 2020		
χλαμυδουργός	Mantle maker		Textiles	79120	Lewis 2020		
χλανιδοποιός	Cloak maker		Textiles	79120	Lewis 2020		
χοιροπώλης	Pig Dealer		Agriculture, Animal Husbandry	45190	Lewis 2020		
χορδοπώλης	Seller of instrument strings		Musical Instruments	45190	Lewis 2020		
χρησμολόγος	oracle interpreter		Education and Training	14990	Lewis 2020		
χρυσοπώλης	Gold merchant		Metalwork	45190	Lewis 2020		
χρυσόχοος	Goldsmith		Metalwork	72110	Harris 2002		
χρυσώτής	Gilder		Metalwork	72110	Harris 2002		
χυτροπώλης	Pot seller		Ceramics	45190	Lewis 2020		
ᾠόπωλις	Egg Seller		Food Preparation and Retail	45190	Lewis 2020		
βαρβαρικάριος	Gilder		Textiles	72110	Petrikovits, 1981, p.288	Barbaricarius	
λιναριος	Linen worker		Textiles	75130	Petrikovits, 1981, p.288	Linarius	
καλιγάριος	Cobbler		Leatherwork and Footwear	80110	Petrikovits, 1981, p.289	Caligarius	
μονητάριος	Moneyer		Metalwork	72110	Petrikovits, 1981, p.289	Monetarius	
μονιτάριος	Moneyer		Metalwork	72110	Petrikovits, 1981, p.289	Monetarius	
πλουμάριος	Feather worker		Textiles	79990	Petrikovits, 1981, p.289	Plumarius	
φαβρικέσιος	Imperial workshop worker		Armaments	72990	Petrikovits, 1981, p.289	Fabricensis	
φαυρικίσιος	Imperial workshop worker		Armaments	72990	Petrikovits, 1981, p.289	Fabricensis	
λεπτουργός	Joiner, wood worker		Construction	95110	Petrikovits, 1981, p.287	faber intestinarius	
διφθεράριος	Parchment-maker		Writing and the Book Trade	76990	Petrikovits, 1981, p.287	membranarius	
ἀκονητής	Polisher, furbisher, grinder		Woodwork	73990	Petrikovits, 1981, p.287	samiator	
ψηφοθέτης	Mosaicer, maker of mosaic		Stonework	16190	Petrikovits, 1981, p.287	tesselarius	
μουσιάριος	Mosaic worker		Stonework	16190	Petrikovits, 1981, p.287	musaearius	
βρακάριος	Maker of trousers		Textiles	79120	Petrikovits, 1981, p.288	bracarius	
καβάτωρ	Engraver, maker of hollow spaces		Miscellaneous	88120	Petrikovits, 1981, p.288	cavator	
καψάριος	Maker of small bags		Leatherwork and Footwear	80110	Petrikovits, 1981, p.289	capsarius	
κοροράτωρ	Decorator		Textiles	16190	Petrikovits, 1981, p.289	colorator	
λανάριος	Wool worker		Textiles	76990	Petrikovits, 1981, p.289	lanarius	
μαρμοράριος	Marble worker, stonemason		Stonework	82120	Petrikovits, 1981, p.289	marmorarius	
σειρικάριος	Silk trader		Textiles	45190	Petrikovits, 1981, p.289	siricarius	
φουλών	Fuller		Textiles	75140	Petrikovits, 1981, p.289	fullo	
πλακουντάριος	Break maker		Food Preparation and Retail	53120	Petrikovits, 1981, p.292	placentarius	
σιλιγινάριος	Bread maker		Food Preparation and Retail	53120	Petrikovits, 1981, p.292	siliginarius	
αὐρικαίσωρ	Manufacturer of sheet gold		Jewellery	88120	Petrikovits, 1981, p.295	auricaesor	
σκαφίδες	Uncertain, cup maker		Miscellaneous	89990	Petrikovits, 1981, p.295	capidarius	
κηροματίτης	Masseur, trainer		Miscellaneous	53990	Petrikovits, 1981, p.295	ceromatita	
χωνευτής	Metal-caster		Metalwork	72110	Petrikovits, 1981, p.295	conflator	
κοπιάτης	Grave-digger, sexton		Miscellaneous	54990	Petrikovits, 1981, p.295	copiata	
γραμματεύς	Scribe		Writing and the Book Trade	30120	Petra Hermankova		
ἰατρός	Doctor		Miscellaneous	6110	Petra Hermankova		
ἱεροποιός	Sacrificer		Miscellaneous	14990	Petra Hermankova		
ἱερεύς 	Priest, sacrificer		Miscellaneous	14990	Petra Hermankova		
λιθοκοπικός	Stone-cutter		Stonework	82120	Petra Hermankova		
λιθαγωγός	Stone haulier		Transport	98310	Petra Hermankova		
χρυσότα	Gilder in gold		Metalwork	72110	Petrikovits, 1981, p.296	deaurator	
ἐργαστηριάρχης	Metal-worker		Metalwork	72110	Petrikovits, 1981, p.296	massarius	
διφθεροποιός 	Parchment-maker		Leatherwork and Footwear	76990	Petrikovits, 1981, p.296	membranarius	
kογχυλεύτης	Purple-fish collector		Textiles	64120	Petrikovits, 1981, p.296	murilegulus	
διφθεράριος 	Parchment-maker		Leatherwork and Footwear	76990	Petrikovits, 1981, p.296	membranarius	
